YEAR_MONTH,VFRate,FIRE_Acres_Burned,PRECIP,WIND_EventCount,WIND_AvgMPH,WIND_RunMiles,AQI_PM25,AQI_PM10,EARTHQUAKE_Total,PESTICIDE_Total,POUNDS_PRODUCT_APPLIED
2010-04,2.2527306313438507,1.6,2.53,0.0,4.91,117.9266667,54.0,26.0,0,2449.1006645,1050.0152
2010-05,2.1454577441370004,63.09,0.17,2.0,5.822580645,139.7032258,51.0,22.0,0,1442.8465448,1472.3576
2010-06,5.363644360342501,829.64,0.0,1.0,6.503333333,156.14,51.0,27.5,0,918.0396732,4078.2696
2010-07,7.187283442858952,361.92,0.0,0.0,5.016129032,120.3806452,61.0,36.0,0,2465.7414396,1246.0042
2010-08,10.190924284650752,62.62,0.0,0.0,4.616129032,110.6548387,58.0,42.0,0,853.4287626,1233.1444999999999
2010-09,12.2291091415809,46.11,0.0,0.0,3.893333333,93.31666667,59.0,52.5,0,267.0679635,4719.6465
2010-10,13.838202449683653,17.45,0.65,0.0,3.764516129,90.5516129,64.0,22.0,0,26.6739014,1060.4386
2010-11,9.76183273582335,4.36,2.01,0.0,3.286666667,78.96666667,82.5,24.5,0,18.4075006,4541.6273
2010-12,7.830920766100051,0.0,5.74,0.0,3.606451613,86.69354839,80.0,24.0,0,50.881238,670.8567
2011-01,6.168860866661136,0.0,1.8,0.0,2.903225806,69.55483871,84.0,21.0,1,83.4570538,2219.1505
2011-02,5.105264165512664,1.11,1.48,0.0,3.814285714,91.525,63.0,26.0,0,737.62676375,539.2913
2011-03,6.487939877005677,10.65,3.49,0.0,4.9,117.6774194,53.0,11.0,0,10167.2676227,15490.777399999999
2011-04,5.424343175857206,26.46,0.23,0.0,5.303333333,127.32,53.0,13.0,1,5855.1130248,1438.0834
2011-05,2.6589917528711795,578.13,0.49,1.0,5.835483871,139.9258065,57.0,16.5,0,2611.6246503,1267.8092
2011-06,4.7861851551681225,458.76,1.93,0.0,5.45,130.55,60.0,24.5,0,4088.3202961,1718.8355000000001
2011-07,4.998904495397817,285.92,0.0,0.0,5.335483871,128.0,64.0,29.0,0,4498.6517047,1982.3449
2011-08,6.062501196546289,130.92000000000002,0.0,0.0,4.34516129,104.3225806,62.0,33.0,1,1160.2022035,1445.313
2011-09,9.253291299991703,402.54,0.02,0.0,3.953333333,94.94,64.5,55.0,0,476.3713806,939.3231000000001
2011-10,9.359650970106552,57.32,0.97,0.0,3.329032258,79.86451613,76.0,42.0,1,300.147105,925.182
2011-11,7.657896248268996,19.86,0.8200000000000001,0.0,3.386666667,81.37,76.5,28.0,0,0.3922,1044.8373
2011-12,9.04057195976201,64.05,0.02,1.0,2.835483871,68.10967742,140.0,56.5,0,1.668576,1222.9601
2012-01,9.297401693183632,32.22,1.47,0.0,3.280645161,78.9483871,120.0,26.0,0,0.18255,968.2125
2012-02,7.712617313663694,23.31,0.62,1.0,4.079310345,98.20689655,67.0,24.0,0,789.623621,2415.7788
2012-03,5.81087605823977,99.12,2.56,1.0,4.95483871,118.7193548,52.0,18.0,0,6865.4510198,986.5032
2012-04,4.54304855462382,14.1,3.13,1.0,5.076666667,121.8333333,51.5,11.0,0,4518.5868613,1955.5363
2012-05,4.860005430527807,174.92,0.0,2.0,6.025806452,144.4225806,56.0,28.0,0,3253.3988969,2288.19
2012-06,2.5356550072318997,601.3000000000001,0.0,3.0,6.72,161.1533333,50.5,31.0,0,2050.3993009,2784.4624
2012-07,2.641307299199896,230.57,0.0,0.0,4.9,117.5870968,57.0,30.0,0,3127.9568066,3195.0801
2012-08,3.486525634943862,250.35,0.06,0.0,4.448387097,106.8806452,57.0,42.0,0,1275.7941205,2119.2597
2012-09,2.5356550072318997,30.9,0.0,0.0,3.536666667,84.97333333,63.0,55.5,0,358.787508,1906.6754
2012-10,2.218698131327912,10.1,2.96,0.0,3.641935484,87.47741935,66.0,49.0,1,195.95892,2347.8521
2012-11,2.8526118831358867,107.2,0.99,0.0,3.376666667,81.09333333,80.0,30.5,0,239.3290499,747.3922
2012-12,2.324350423295908,2.0,1.74,0.0,4.319354839,103.8354839,67.0,18.5,0,87.7987221,885.4026
2013-01,2.5166993488040434,0.35,0.54,0.0,3.183870968,76.41612903,107.0,42.0,0,50.9622012,647.6058
2013-02,3.0410117131382197,3.1,0.5800000000000001,0.0,3.417857143,82.05714286,77.0,31.0,1,77.312719,1982.5191
2013-03,2.5166993488040434,7.92,0.71,0.0,4.306451613,103.3129032,60.0,25.0,0,7379.2401734,1290.3991
2013-04,3.9847739689397352,244.52,0.12,1.0,5.423333333,130.03,54.0,27.0,0,4643.95017211,2207.3687
2013-05,4.613948806140747,84.35,0.07,0.0,6.464516129,155.2387097,56.0,27.0,1,1961.72455721,5590.3325
2013-06,3.0410117131382197,359.26,0.0,0.0,4.59,110.19,55.0,29.0,0,2612.3710655,9080.2495
2013-07,2.8312867674045488,277.23,0.0,0.0,4.767741935,114.4193548,63.0,34.0,0,1895.5946216,3327.3088
2013-08,1.5729370930025273,172.62,0.06,0.0,4.887096774,117.1870968,56.0,35.0,0,1306.505795,3708.523
2013-09,1.6777995658693623,20.5,0.0,0.0,4.916666667,118.05,55.0,48.5,0,303.94498921,2093.1806
2013-10,1.8875245116030328,7.7,0.06,0.0,3.390322581,81.18064516,64.0,52.0,0,0.36875,2282.9833
2013-11,2.6215618216708787,7.78,0.37,0.0,2.82,67.50666667,85.0,56.0,0,78.9710466,1426.9652
2013-12,2.202111930203538,5.4,0.23,0.0,2.590322581,62.06774194,131.0,56.0,0,26.514472,1588.9169
2014-01,1.1418807606586785,131.89,0.01,0.0,2.527777778,60.83888889,139.0,66.0,0,2.6121584,1599.4206
2014-02,1.24568810253674,2.8,1.23,1.0,5.7,136.72,61.5,23.5,0,2898.2543688,1476.4672
2014-03,1.24568810253674,10.8,0.7000000000000001,0.0,4.390322581,105.383871,52.0,21.0,0,3484.9473589,1495.2576
2014-04,0.8304587350244933,5.87,0.81,1.0,4.98,119.32,54.0,23.0,0,3755.998145,1635.0342
2014-05,1.24568810253674,31.7,0.21,0.0,5.735483871,137.883871,50.0,28.0,0,2304.3593262,2310.0847
2014-06,1.3494954444148015,87.6,0.0,0.0,5.26,126.4,52.5,29.5,0,2182.3026358,6574.0549
2014-07,2.0761468375612333,27.1,0.02,0.0,4.858064516,116.6870968,56.0,35.0,0,1612.43095213,2208.7647
2014-08,1.3494954444148015,99.65,0.0,0.0,4.535483871,108.7032258,58.0,43.0,1,768.1830675,2169.5757
2014-09,1.7647248119270482,12.14,0.07,0.0,4.07,97.68,61.5,51.0,0,408.2774884,1452.1036
2014-10,1.7647248119270482,13.55,0.42,0.0,3.432258065,82.50322581,60.0,50.0,0,245.0540863,2263.9408
2014-11,1.1418807606586785,0.2,0.92,0.0,2.813333333,67.69333333,79.5,34.0,0,350.8743921,657.4587
2014-12,0.9342660769025548,2.1,2.93,0.0,3.335483871,80.20967742,66.0,19.0,0,72.4336327,425.3555
2015-01,1.5417727920271844,2.0,0.31,0.0,2.641935484,63.36774194,99.0,35.0,0,128.9009458,699.826
2015-02,0.6167091168108738,0.11,1.34,0.0,3.389285714,81.25714286,76.5,29.0,1,1217.1163971,6897.8255
2015-03,1.5417727920271844,6.51,0.11,0.0,3.8,91.30967742,53.0,23.0,0,3882.3682469,2345.0
2015-04,2.67240617284712,16.91,1.2799999999999998,0.0,4.943333333,118.6333333,52.0,24.0,0,5476.3359437,1478.3354
2015-05,1.33620308642356,148.38,0.83,0.0,5.341935484,128.1064516,52.0,22.0,0,2969.3630524,1767.8779
2015-06,1.33620308642356,228.38,0.0,0.0,4.91,117.8933333,57.0,31.0,0,2572.31671083,2761.9034
2015-07,2.2612667616398707,421.69,0.19,0.0,5.441935484,130.783871,57.0,29.0,0,1820.93946459,3499.5409
2015-08,2.569621320045308,28.06,0.0,0.0,4.9,117.6645161,63.0,44.0,0,737.71855074,1423.6719
2015-09,2.775191025648932,210.76,0.06,0.0,4.046666667,97.21666667,62.0,52.0,0,544.9709467,2064.4267
2015-10,5.34481234569424,16.99,0.41,0.0,3.503225806,84.05806452,63.0,38.0,0,181.24445673,1673.8602
2015-11,2.569621320045308,30.46,2.13,0.0,3.116666667,74.73666667,75.0,26.5,0,263.1084662,1307.229
2015-12,2.055697056036246,0.63,3.3000000000000003,0.0,3.325806452,79.94516129,83.0,26.0,0,47.2634722,626.1205
