YEAR_MONTH,VFRate,FIRE_Acres_Burned,PRECIP,WIND_EventCount,WIND_AvgMPH,WIND_RunMiles,AQI_PM25,AQI_PM10,EARTHQUAKE_Total,PESTICIDE_Total,POUNDS_PRODUCT_APPLIED
2011-06,19.42019535539546,0.0,0.04,0.0,3.94,94.44,61.5,34.0,0,2402.7269079,1710.8729
2011-07,28.60065134158241,0.0,0.32,0.0,3.632258065,87.10645161,59.0,38.0,0,2467.5856964,2229.6852
2011-08,35.78023871539527,0.0,0.0,0.0,3.212903226,77.11612903,62.0,44.0,1,888.6351293,1599.9605999999999
2011-09,39.31118332546717,0.0,0.0,0.0,3.153333333,75.57333333,69.5,55.0,0,55.151471400000005,1256.078
2011-10,38.2518999424456,0.0,0.91,0.0,2.861290323,68.72258065,75.0,54.0,0,1105.8715124,2777.3233
2011-11,29.77763287827304,0.0,1.04,0.0,3.606666667,86.59,73.5,33.5,0,1557.3642298,1214.404
2011-12,23.30423442647455,0.0,0.08,0.0,2.848387097,68.4,147.0,58.5,0,413.9167069,1113.687
2012-01,22.89294395083156,0.0,0.0,0.0,2.885714286,69.04642857,107.0,57.0,0,386.687339,641.9518
2012-02,27.68177406299531,0.0,0.32,1.0,3.9375,94.7,59.0,27.0,0,416.2912249,2393.966
2012-03,20.790530730857235,0.0,1.53,0.0,4.058064516,97.50967742,55.0,22.0,0,4293.9057519,1640.0572
2012-04,16.819305759794617,0.0,1.62,0.0,4.033333333,96.74666667,62.0,28.0,0,5040.4734975,7602.5136999999995
2012-05,13.548885195390108,0.0,0.0,0.0,4.358064516,104.4032258,62.0,41.0,0,5938.024399,2114.0748
2012-06,16.58570429090858,0.0,0.0,0.0,4.723333333,113.4,59.5,43.5,0,892.8626269,3265.7019
2012-07,16.468903556465563,0.0,0.0,0.0,4.032258065,96.68709677,61.0,32.0,0,948.4673827,3040.8544
2012-08,19.03851971421196,0.0,0.0,0.0,3.706451613,88.91612903,64.0,44.0,0,1746.8936546,534.5591
2012-09,17.870512369781782,0.0,0.0,0.0,3.396666667,81.66333333,64.0,55.0,0,811.29261346,4627.5472
2012-10,16.819305759794617,0.0,0.0,0.0,3.461290323,83.15483871,67.0,38.5,1,2389.0966687499995,6993.0018
2012-11,17.169707963123674,0.0,0.24,0.0,3.077777778,73.97037037,80.0,38.0,0,1693.1722318000002,1987.5617000000002
2012-12,11.329671240972765,0.0,2.42,0.0,3.093548387,74.17419355,68.0,23.0,0,1049.4620264,2040.8213
2013-01,14.330637863625489,0.0,1.62,0.0,2.916129032,70.40967742,91.0,54.0,0,1845.1921117,558.4427000000001
2013-02,11.903674999624398,0.0,0.67,0.0,3.410714286,82.00357143,70.5,44.0,0,1184.3336924,1676.2135
2013-03,11.672535679243342,0.0,0.91,0.0,3.732258065,89.32258065,65.0,36.0,1,2225.154093,2081.6102
2013-04,14.908486164578129,0.0,0.16,0.0,4.293333333,103.16,63.5,30.5,0,4528.8448284,2192.4347
2013-05,21.149247814866648,0.0,0.56,0.0,4.729032258,113.4258065,67.0,34.0,1,2133.9923892,4819.3063
2013-06,15.833043446102357,0.0,0.04,0.0,4.273333333,102.5533333,70.5,43.0,0,1369.376174,3569.2322
2013-07,16.526461407245524,0.0,0.0,0.0,3.725806452,89.40645161,65.0,32.5,0,1681.03152529,3312.5784
2013-08,15.717473785911828,0.0,0.0,0.0,3.932258065,94.26451613,77.0,42.5,0,1761.50140013,1287.2447
2013-09,14.792916504387602,0.0,0.16,0.0,3.666666667,87.86333333,66.5,42.0,0,1466.1802307,2958.7945
2013-10,18.26000631010345,0.0,0.16,0.0,3.274193548,78.66129032,59.0,30.0,0,941.0161276,746.8937
2013-11,20.57139951391401,0.0,0.87,0.0,3.373333333,81.11,79.0,19.0,0,634.5217814,618.0994
2013-12,15.717473785911828,0.0,0.2,0.0,2.951612903,70.74516129,124.0,19.0,0,814.9327116000001,873.542
2014-01,14.201064163614584,0.0,0.08,2.0,3.758064516,90.33548387,139.0,81.0,0,1483.6720372,698.3824
2014-02,12.139619365670532,0.0,0.32,0.0,3.714285714,88.94285714,66.0,42.5,0,1887.29081667,422.7662
2014-03,6.756957948816615,0.0,0.86,1.0,4.116666667,99.18333333,56.0,37.0,1,4007.4989896,3053.2318999999998
2014-04,6.756957948816615,0.0,0.76,0.0,4.256666667,102.2766667,57.5,33.0,0,3907.9047433,1095.6696
2014-05,7.902205058785535,0.0,0.04,0.0,4.574193548,109.8741935,56.0,40.0,0,2691.0424406,3503.7580000000003
2014-06,6.527908526822832,0.0,0.32,0.0,4.233333333,101.74,70.0,47.0,0,2654.12500218,2009.8745
2014-07,6.642433237819724,0.0,0.0,0.0,3.848387097,92.22903226,61.0,31.0,1,1509.3667994000002,640.7482
2014-08,8.818402746760668,0.0,0.0,0.0,3.848387097,92.36129032,58.0,30.0,0,1806.1771937,1611.135
2014-09,7.673155636791751,0.0,0.0,0.0,3.536666667,85.0,60.0,32.0,0,1933.5085164,1200.6616
2014-10,7.444106214797967,0.0,0.67,0.0,3.422580645,82.04193548,60.0,21.0,0,2090.7343281000003,579.5864
2014-11,8.703878035763777,0.0,0.04,0.0,2.966666667,71.02666667,83.0,13.0,0,1155.4569788,380.70550000000003
2014-12,10.87984754470472,0.0,2.05,0.0,2.838709677,68.03225806,69.0,6.0,0,2370.4407716,152.1771
2015-01,7.380752586953783,0.0,0.51,0.0,2.458064516,59.03870968,110.0,6.0,0,707.8378917,1473.3324
2015-02,5.45040191036587,0.0,1.14,0.0,2.310714286,55.55,84.5,9.0,1,1231.6780359,1009.8163999999999
2015-03,6.0181521093623145,0.0,0.28,0.0,2.035483871,48.92258065,57.0,18.0,0,2076.246036,720.2514
2015-04,5.904602069563025,0.0,0.2,0.0,2.893333333,69.34666667,54.5,25.0,0,2344.1631063,373.3985
2015-05,5.109751790968003,0.0,0.7200000000000001,0.0,4.129032258,99.1483871,47.0,22.0,0,9765.7954695,2888.3295
2015-06,6.699452348158047,0.0,0.2,0.0,4.196666667,100.93,56.0,28.0,0,3406.22463974,1021.8824999999999
2015-07,8.970453144143827,0.0,0.67,0.0,4.306451613,103.3903226,54.0,39.0,0,2707.4958313,1803.0
2015-08,12.376954338122497,0.0,0.79,0.0,3.622580645,87.03225806,61.0,60.0,0,2609.4789221,1024.538
2015-09,15.329255372904008,0.0,0.12,0.0,3.356666667,80.52,56.0,34.5,0,1355.0165851999998,857.7083
2015-10,16.918955930094054,0.0,0.6,0.0,3.34516129,80.42258065,57.0,18.0,0,1841.2265706,1669.6634
2015-11,16.23765569129832,0.0,0.9,0.0,3.063333333,73.46333333,78.5,9.5,0,1142.1198789,470.9148
2015-12,15.783455532101163,0.0,0.61,0.0,2.903225806,69.47419355,78.0,10.0,0,5675.0905851,227.1396
