YEAR_MONTH,VFRate,PRECIP,WIND_EventCount,WIND_AvgMPH,WIND_RunMiles,AQI_PM25,AQI_PM10,EARTHQUAKE_Total,YJ_PESTICIDE_Total,log1p_RODENTICIDE_Total,Avg_Monthly_DSCI
2013-12-01,15.717473785911828,0.2,0.0,2.951612903,70.74516129,124.0,19.0,0,-0.6557946780084736,6.77370032074963,990.8
2014-01-01,14.201064163614584,0.08,2.0,3.758064516,90.33548387,139.0,81.0,0,-0.05358013767761188,6.550197659885995,1049.9575
2014-02-01,12.139619365670532,0.32,0.0,3.714285714,88.94285714,66.0,42.5,0,0.2304414097379721,6.049181888052405,1279.755
2014-03-01,6.756957948816615,0.86,1.0,4.116666667,99.18333333,56.0,37.0,1,1.3112140996166861,8.024283416098156,1380.2375
2014-04-01,6.756957948816615,0.76,0.0,4.256666667,102.2766667,57.5,33.0,0,1.269777982838972,7.000033229859767,1380.35
2014-05-01,7.902205058785535,0.04,0.0,4.574193548,109.8741935,56.0,40.0,0,0.7005775922022669,8.16187675286249,1380.35
2014-06-01,6.527908526822832,0.32,0.0,4.233333333,101.74,70.0,47.0,0,0.6810393595405123,7.606324981062464,1381.425
2014-07-01,6.642433237819724,0.0,0.0,3.848387097,92.22903226,61.0,31.0,1,-0.03417829615382334,6.464196014916775,1388.4
2014-08-01,8.818402746760668,0.0,0.0,3.848387097,92.36129032,58.0,30.0,0,0.17659446317953142,7.385314666458261,1388.4
2014-09-01,7.673155636791751,0.0,0.0,3.536666667,85.0,60.0,32.0,0,0.2604904695133251,7.0914605446758925,1388.4
2014-10-01,7.444106214797967,0.67,0.0,3.422580645,82.04193548,60.0,21.0,0,0.3595367105687679,6.36403862727209,1388.4
2014-11-01,8.703878035763777,0.04,0.0,2.966666667,71.02666667,83.0,13.0,0,-0.32195989799363023,5.944649368869274,1388.4
2014-12-01,10.87984754470472,2.05,0.0,2.838709677,68.03225806,69.0,6.0,0,0.5250200470725703,5.031594768326782,1388.4
2015-01-01,7.380752586953783,0.51,0.0,2.458064516,59.03870968,110.0,6.0,0,-0.7782251579174589,7.295960556145529,1388.4
2015-02-01,5.45040191036587,1.14,0.0,2.310714286,55.55,84.5,9.0,1,-0.25584051810390956,6.918513600154877,1368.2875
2015-03-01,6.0181521093623145,0.28,0.0,2.035483871,48.92258065,57.0,18.0,0,0.3506047644995122,6.580987758894949,1332.17
2015-04-01,5.904602069563025,0.2,0.0,2.893333333,69.34666667,54.5,25.0,0,0.5100006499788458,5.925320738185155,1368.5
2015-05-01,5.109751790968003,0.7200000000000001,0.0,4.129032258,99.1483871,47.0,22.0,0,3.0708068229980303,7.968779747268293,1368.5
2015-06-01,6.699452348158047,0.2,0.0,4.196666667,100.93,56.0,28.0,0,1.0505330847310732,6.930379901094892,1368.5
2015-07-01,8.970453144143827,0.67,0.0,4.306451613,103.3903226,54.0,39.0,0,0.7092324852371787,7.4977617006225685,1368.5
2015-08-01,12.376954338122497,0.79,0.0,3.622580645,87.03225806,61.0,60.0,0,0.6571869683622833,6.932972631920988,1368.5
2015-09-01,15.329255372904008,0.12,0.0,3.356666667,80.52,56.0,34.5,0,-0.15396256647643544,6.75542928340557,1368.5
2015-10-01,16.918955930094054,0.6,0.0,3.34516129,80.42258065,57.0,18.0,0,0.2000399815275509,7.420976072038675,1368.5
2015-11-01,16.23765569129832,0.9,0.0,3.063333333,73.46333333,78.5,9.5,0,-0.3338017208946136,6.156798460817364,1368.5
2015-12-01,15.783455532101163,0.61,0.0,2.903225806,69.47419355,78.0,10.0,0,1.9274134244723626,5.429957722288844,1368.5
